wage,IQ,KWW,exper,married,urban,brthord,meduc
1154,111,37,13,1,0,3,3
1000,95,44,16,1,1,2,2
850,72,36,19,1,1,2,2
471,101,34,13,1,1,1,1
1615,113,49,10,1,1,3,3
2137,145,50,17,1,1,3,3
1053,114,35,12,1,1,2,2
1188,93,40,16,1,1,3,3
1424,98,41,15,1,1,3,3
1779,132,42,8,1,1,3,3
1572,108,39,7,1,1,3,3
1274,106,35,11,1,1,3,3
1081,123,46,11,1,0,3,3
692,108,48,21,1,1,1,1
1027,100,40,12,1,1,2,2
1748,125,50,12,1,1,3,3
981,122,41,9,0,1,2,2
770,105,34,7,1,1,2,2
1154,94,37,11,1,1,3,3
1154,134,46,10,1,1,3,3
1000,104,36,11,1,1,2,2
769,120,49,8,0,1,2,2
1452,115,45,1,1,1,3,3
800,96,33,17,1,1,2,2
978,89,47,17,1,1,2,2
963,109,43,15,0,0,2,2
619,93,20,10,0,1,1,1
442,82,32,12,1,1,1,1
1366,122,38,15,1,1,3,3
2310,114,55,12,1,1,3,3
1682,126,40,10,1,1,3,3
1072,104,37,6,1,1,3,3
1040,115,49,8,1,1,2,2
996,114,41,5,1,1,2,2
732,73,28,17,1,1,1,1
1694,113,30,9,0,1,3,3
686,106,38,15,1,1,1,1
754,104,37,9,1,1,2,1
832,104,30,4,1,1,2,2
579,122,36,8,1,0,1,1
1076,105,24,5,0,1,3,3
750,94,18,16,1,1,1,1
1186,91,41,8,1,1,3,3
833,96,37,9,1,1,2,2
650,69,37,14,1,1,1,1
1250,110,37,5,1,0,3,3
865,110,35,1,1,1,2,2
808,97,37,10,1,1,2,2
1299,125,44,6,0,1,3,3
903,91,39,6,1,1,2,2
900,86,28,17,1,1,2,2
625,110,32,18,1,1,1,1
962,85,41,15,1,1,2,2
1539,120,36,7,1,1,3,3
1282,112,41,6,0,1,3,3
770,91,39,13,1,1,2,2
1000,90,42,16,1,1,2,2
750,113,27,11,1,0,1,1
654,111,51,5,1,1,1,1
433,98,28,11,0,1,1,1
1188,105,28,11,1,1,3,3
