wage,hours,IQ,degree,exper,age,sibs,brthord,meduc,famses
769,40,93,2,11,31,1,2,2,2
808,50,119,3,11,37,1,2,2,2
1400,40,116,3,14,35,1,3,3,3
600,40,91,2,13,30,1,1,1,1
1081,40,114,3,8,38,2,3,3,3
1154,45,111,3,13,36,2,3,3,3
930,43,132,3,8,38,1,2,2,2
1318,38,119,3,7,28,3,3,3,3
1360,45,109,3,6,36,3,3,3,3
1615,50,113,3,10,36,2,3,3,3
2137,45,145,3,17,38,2,3,3,3
1188,40,93,3,16,35,2,3,3,3
800,40,115,3,11,35,0,1,2,2
1417,48,125,3,9,34,3,3,3,3
635,40,128,3,8,36,2,1,1,1
1779,40,132,3,8,32,1,3,3,3
1274,40,106,3,11,31,0,3,3,3
1081,40,123,3,11,36,1,3,3,3
1318,38,122,3,10,33,1,3,3,3
1748,55,125,3,12,34,1,3,3,3
808,60,109,3,14,38,2,2,2,2
1154,40,134,3,10,37,2,3,3,3
875,50,124,3,9,31,2,2,2,2
1748,55,123,3,10,36,1,3,3,3
963,40,109,2,15,37,3,2,2,2
600,40,120,3,12,38,3,1,1,1
1366,38,122,2,15,32,1,3,3,3
1643,48,117,3,8,33,2,3,3,3
1455,40,109,3,8,36,1,3,3,3
855,45,119,3,11,32,3,2,2,2
1072,42,104,3,6,35,2,3,3,3
1000,50,97,2,17,36,1,2,2,2
1100,37,100,2,14,30,1,3,3,3
996,50,114,2,5,31,2,2,2,2
1200,40,96,2,15,37,3,3,3,3
1694,30,113,3,9,29,3,3,3,3
686,55,106,2,15,36,3,1,1,1
754,40,104,3,9,32,1,2,1,1
832,50,104,3,4,30,1,2,2,2
579,44,122,3,8,30,3,1,1,1
672,61,96,2,13,34,2,1,1,1
1076,45,105,2,5,31,1,3,3,3
1186,30,91,3,8,33,1,3,3,3
650,40,69,2,14,30,3,1,1,1
903,40,91,2,6,36,3,2,2,2
900,40,86,2,17,37,3,2,2,2
1539,45,120,3,7,34,1,3,3,3
1110,52,106,2,11,33,3,3,3,3
1000,45,90,2,16,38,3,2,2,2
1205,40,86,2,13,32,3,3,3,3
654,50,111,3,5,38,3,1,1,1
601,48,111,2,15,33,0,1,1,1
1188,40,105,2,11,30,3,3,3,3
635,40,105,2,15,33,2,1,1,1
1225,40,118,3,9,32,0,3,3,3
1151,45,90,2,19,36,1,3,3,3
1031,40,112,3,9,29,3,2,2,2
1105,40,103,3,10,30,1,3,3,3
1346,40,90,3,9,38,1,3,3,3
809,65,125,2,11,29,0,2,2,2
1346,50,128,3,10,33,3,3,3,3
1200,40,97,2,10,31,3,3,3,3
500,40,96,2,6,33,3,1,1,1
1325,45,97,2,12,28,1,3,3,3
800,40,112,2,15,34,3,2,2,2
513,45,119,3,8,31,1,1,1,1
2771,50,134,3,6,34,3,3,3,3
779,40,84,2,9,30,0,2,2,2
950,60,98,2,13,31,2,2,2,2
1394,40,118,3,11,30,2,3,3,3
650,40,100,2,4,28,3,1,1,1
670,40,93,3,9,29,2,1,1,1
450,64,67,2,11,33,3,1,1,1
2404,50,106,3,8,32,2,3,3,3
1318,35,118,3,16,37,1,3,3,3
1273,55,120,3,11,36,1,3,3,3
1058,40,85,2,17,38,3,1,3,3
750,40,106,3,9,29,1,1,1,1
951,60,116,2,9,30,3,2,2,2
675,40,110,2,6,34,2,1,1,1
577,50,94,2,9,29,2,1,1,1
