wage,KWW,educ,exper,age,married,urban,sibs
769,35,2,11,31,1,1,1
808,41,3,11,37,1,1,1
650,32,2,13,32,1,1,3
562,27,2,14,34,1,1,3
1000,44,2,16,36,1,1,1
921,45,3,9,33,1,0,1
1318,24,3,7,28,1,1,3
471,34,2,13,31,1,1,3
1275,37,3,9,31,1,1,0
1602,32,3,8,29,1,1,3
1188,40,3,16,35,1,1,2
800,39,3,11,35,1,1,0
1000,40,2,17,34,1,1,1
1424,41,3,15,35,1,1,1
2668,41,3,12,32,1,1,1
782,24,3,9,31,1,1,3
1572,39,3,7,28,1,1,1
1274,35,3,11,31,1,1,0
1081,46,3,11,36,1,0,1
1318,47,3,10,33,1,1,1
981,41,3,9,35,0,1,3
1155,36,2,16,34,1,1,1
808,47,3,14,38,1,1,2
1154,46,3,10,37,1,1,2
1749,32,2,13,29,0,1,3
1000,36,3,11,30,1,1,1
462,35,2,11,29,1,1,3
769,49,3,8,32,0,1,1
875,40,3,9,31,0,0,2
1375,34,2,12,29,1,1,3
1452,45,3,1,30,1,1,3
1748,48,3,10,36,1,1,1
840,34,2,18,35,1,1,2
978,47,2,17,38,1,1,0
619,20,2,10,28,0,1,3
600,45,3,12,38,1,0,3
1366,38,2,15,32,1,1,1
1643,48,3,8,33,1,1,2
1072,37,3,6,35,1,1,2
1040,49,3,8,35,1,1,3
1000,45,2,17,36,1,1,1
1100,32,2,14,30,1,1,1
686,38,2,15,36,1,1,3
754,37,3,9,32,1,1,1
579,36,3,8,30,1,0,3
672,38,2,13,34,1,1,2
750,18,2,16,37,1,1,3
1186,41,3,8,33,1,1,1
1250,37,2,5,38,1,0,1
1122,44,3,12,31,1,1,3
1299,44,3,6,35,0,1,1
1539,36,3,7,34,1,1,1
1110,42,2,11,33,1,0,3
1282,41,3,6,31,0,1,2
1205,32,2,13,32,1,1,3
601,30,2,15,33,1,1,0
433,28,2,11,30,0,1,1
1188,28,2,11,30,1,1,3
635,29,2,15,33,1,0,2
1151,38,2,19,36,1,1,1
865,34,2,15,32,0,1,3
1049,39,2,9,32,1,1,3
1105,32,3,10,30,1,1,1
1924,40,3,11,35,1,1,3
1346,44,3,9,38,1,1,1
1495,34,3,10,32,1,1,3
1346,46,3,10,33,0,0,3
500,35,2,6,33,1,1,3
800,39,2,15,34,1,1,3
884,42,2,19,34,1,1,2
923,54,3,7,34,1,1,1
1193,38,2,19,36,1,1,0
2771,45,3,6,34,1,1,3
779,29,2,9,30,1,1,0
950,36,2,13,31,1,1,2
1394,41,3,11,30,1,0,2
650,18,2,4,28,1,1,3
1899,49,3,9,36,0,1,0
1100,51,3,11,32,1,0,0
1318,47,3,16,37,1,0,1
1411,40,3,14,38,1,1,3
2162,51,3,4,38,1,1,1
1273,44,3,11,36,1,0,1
1058,50,2,17,38,1,0,3
1250,28,2,13,34,1,1,3
577,17,2,9,29,1,1,2
590,27,3,10,29,1,0,2
923,38,3,10,31,1,0,1
1100,38,3,11,33,1,1,2
652,37,2,14,36,0,1,1
618,34,2,6,30,1,1,3
962,43,3,7,34,1,1,2
840,39,2,19,38,1,0,3
1126,26,2,16,32,1,1,3
1160,32,2,8,31,1,0,3
1778,43,3,14,36,1,1,0
1903,44,3,13,36,1,0,0
971,42,3,5,37,1,1,1
525,31,2,12,30,1,0,1
500,47,2,19,37,1,0,0
550,44,2,18,35,1,1,1
500,43,2,14,32,1,1,1
727,40,3,10,31,0,1,1
1081,34,3,8,30,1,1,3
1304,36,3,9,31,1,0,1
515,30,3,8,28,1,0,3
1273,42,3,14,37,1,1,1
600,32,2,16,33,1,0,3
795,27,2,17,35,1,0,2
500,34,2,20,37,1,0,2
740,31,2,23,38,1,0,3
1346,33,3,9,30,1,1,2
1250,31,3,7,28,1,1,1
1607,41,3,7,36,1,1,2
1391,38,2,14,32,1,1,1
794,36,3,9,29,1,1,1
500,46,3,10,38,1,0,3
