ID,Country,Region,DataYear,Gender,Ageyears,Height_cm,Footlength_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
101,USA,NC,2022,Female,16,175,28,1,Bus,4,.364,41,Other,28,Same length,70,70,Same length,1,Summer,No,No,Other,7,11,5,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Fly,Happy,Relative,Religious
120,USA,NC,2016,Female,16,162.4,23,4,Car,15,.443,36,Walking/Hiking,24,Right foot,92,92,Same length,5,Spring,No,Yes,Mathematics and statistics,6,9,6,Text messaging,200,500,8,1,30,2,7,0,5,4,0,3,0,0,Freeze time,Happy,Doctor or nurse,Health
125,USA,NC,2021,Male,17,188,27,2,Bus,15,.471,56,Tennis,29,Right foot,95,105,Ring finger,5,Summer,No,Yes,Mathematics and statistics,7,7,4,Text messaging,120,1400,2,2,8,7,9,1,5,10,60,5,0,3,Freeze time,Healthy,Sports person,Education/Youth development
126,USA,NC,2020,Female,15,290,23,3,Bus,10,.578,92,Basketball,23,Same length,70,62,Index finger,4,Spring,No,No,Mathematics and statistics,8,8,5,In person,5,7,1,0,3,2,0,0,0,1,2,0,0,1,Freeze time,Rich,Friend,International aid
129,USA,NC,2017,Female,17,150,13,1,Walk,10,.746,44,Other,14,Left foot,47,49,Ring finger,7,Fall,Yes,No,Science,7,9,5,In person,100,100,30,1,15,10,10,0,8,8,20,8,10,5,Fly,Happy,Doctor or nurse,International aid
141,USA,NC,2020,Female,17,165,22,2,Car,7,.485,39,Soccer,22,Same length,66,68,Ring finger,1,Fall,No,No,Science,6,11,4,Text messaging,50,100,5,1,25,5,5,0,0,5,10,5,0,2,Telepathy,Happy,Relative,Environment
143,USA,NC,2018,Female,16,161.3,14.7,2,Car,12,.362,37,Athletics,15.5,Left foot,71.12,68.58,Index finger,5,Fall,Yes,No,Art,6,8,4,Internet chat or instant messaging,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Fly,Happy,Sports person,Health
144,USA,NC,2021,Female,18,157,5,3,Bus,20,.392,48,Other,25,Same length,55,55,Same length,10,Spring,No,No,Other,4,5,4,Text messaging,1000,1000,2,5,4,1,5,5,5,6,7,7,6,6,Telepathy,Healthy,Teacher,Health
145,USA,NC,2021,Female,17,165,24,3,Walk,15,.392,27,Walking/Hiking,24,Same length,55,55,Same length,2,Winter,No,No,Science,6,10,4,Text messaging,50,100,1,0,40,8,1,4,6,5,50,2,3,1,Fly,Rich,Community leader or elder,Environment
150,USA,NC,2020,Female,17,168,24,2,Car,5,.596,48,Soccer,24,Same length,80,70,Index finger,1,Fall,No,No,Mathematics and statistics,7,9,4,Text messaging,60,50,10,8,12,2,1,0,5,10,18,10,20,3,Telepathy,Happy,Relative,International aid
