ID,Country,Region,Gender,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_saving_energy,Importance_owning_computer,Index_Fingerlength_mm,Ring_Fingerlength_mm,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Superpower,Preferred_Status,Charity_Donation
101,USA,NC,Female,Right-Handed,175,1,Bus,4,.364,41,561,658,187,439,70,70,1,Summer,No,No,Breads/Sandwiches,Water,Other,7,11,5,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Very little,Some college,Fly,Happy,Religious
108,USA,NC,Male,Right-Handed,177,1,Walk,0,.365,43,0,0,0,5,77.5,80,8,Spring,No,No,Meat,Water,Computers and technology,6,11,4,"Myspace, Facebook, other social networking sites, or blog",100,145,112,1,20,5,18,20,40,100,100,10,0,5,A lot,High school,Telepathy,Rich,International aid
115,USA,NC,Female,Right-Handed,171,1,Car,10,.482,39,348,401,305,203,90,90,3,Spring,No,No,Poultry,Water,Science,7,9,4,In person,30,40,7,1,5,25,2,0,2,10,5,4,0,3,Some,Undergraduate degree,Telepathy,Happy,Health
116,USA,NC,Male,Right-Handed,182.8,1,Bus,30,.364,41,400,500,500,1000,76.2,66.04,7,Spring,No,No,Meat,Water,Other,6,9,5,Text messaging,5,4,10,0,3,2,0,18,5,0,24,10,0,1,Some,High school,Freeze time,Happy,Other
120,USA,NC,Female,Right-Handed,162.4,4,Car,15,.443,36,0,500,500,1000,92,92,5,Spring,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,6,9,6,Text messaging,200,500,8,1,30,2,7,0,5,4,0,3,0,0,A lot,Graduate degree,Freeze time,Happy,Health
125,USA,NC,Male,Right-Handed,188,2,Bus,15,.471,56,600,500,800,300,95,105,5,Summer,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,7,7,4,Text messaging,120,1400,2,2,8,7,9,1,5,10,60,5,0,3,Some,Graduate degree,Freeze time,Healthy,Education/Youth development
126,USA,NC,Female,Right-Handed,290,3,Bus,10,.578,92,3000,3000,3000,2000,70,62,4,Spring,No,No,No favorite,Water,Mathematics and statistics,8,8,5,In person,5,7,1,0,3,2,0,0,0,1,2,0,0,1,Some,Graduate degree,Freeze time,Rich,International aid
129,USA,NC,Female,Right-Handed,150,1,Walk,10,.746,44,900,950,800,950,47,49,7,Fall,Yes,No,Fruit,Powdered drink,Science,7,9,5,In person,100,100,30,1,15,10,10,0,8,8,20,8,10,5,A lot,Graduate degree,Fly,Happy,International aid
131,USA,NC,Female,Right-Handed,162,2,Bus,10,.592,58,1000,900,1000,500,55,55,8,Summer,No,No,Breads/Sandwiches,Water,Art,6,9,5,Text messaging,7,8,0,1,2,1,2,5,10,7,10,2,0,3,Very little,Undergraduate degree,Fly,Rich,International aid
141,USA,NC,Female,Right-Handed,165,2,Car,7,.485,39,1000,1000,1000,540,66,68,1,Fall,No,No,Pizza/Pasta,Water,Science,6,11,4,Text messaging,50,100,5,1,25,5,5,0,0,5,10,5,0,2,A lot,Graduate degree,Telepathy,Happy,Environment
143,USA,NC,Female,Right-Handed,161.3,2,Car,12,.362,37,10000,10000,10000,10000,71.12,68.58,5,Fall,Yes,No,Seafood,Water,Art,6,8,4,Internet chat or instant messaging,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Some,Graduate degree,Fly,Happy,Health
145,USA,NC,Female,Right-Handed,165,3,Walk,15,.392,27,1000,1000,1000,925,55,55,2,Winter,No,No,Fruit,Tea,Science,6,10,4,Text messaging,50,100,1,0,40,8,1,4,6,5,50,2,3,1,A lot,Graduate degree,Fly,Rich,Environment
