wage,KWW,degree,exper,age,urban,brthord,meduc,feduc
769,35,2,11,31,1,2,2,2
825,46,3,11,33,1,2,2,2
650,32,2,13,32,1,1,1,1
600,24,2,13,30,1,1,1,1
921,45,3,9,33,0,2,2,2
1792,47,3,9,34,1,3,3,3
958,37,2,17,35,1,2,2,2
1360,39,3,6,36,1,3,3,3
830,29,3,4,29,1,2,2,2
1275,37,3,9,31,1,3,3,3
2137,50,3,17,38,1,3,3,3
1053,35,3,12,32,1,2,2,2
1602,32,3,8,29,1,3,3,3
1417,41,3,9,34,1,3,3,3
1000,40,2,17,34,1,2,2,2
1424,41,3,15,35,1,3,3,3
782,24,3,9,31,1,2,2,2
1572,39,3,7,28,1,3,3,3
1239,44,2,16,38,1,3,3,3
1027,40,3,12,38,1,2,2,2
808,47,3,14,38,1,2,2,2
1000,36,3,11,30,1,2,2,2
462,35,2,11,29,1,1,1,1
875,40,3,9,31,0,2,2,2
1375,34,2,12,29,1,3,3,3
1452,45,3,1,30,1,3,3,3
800,33,2,17,35,1,2,2,2
1748,48,3,10,36,1,3,3,3
1151,34,2,12,29,1,3,3,3
840,34,2,18,35,1,2,2,2
963,43,2,15,37,0,2,2,2
1366,38,2,15,32,1,3,3,3
1643,48,3,8,33,1,3,3,3
2310,55,3,12,38,1,3,3,3
1682,40,3,10,31,1,3,3,3
855,45,3,11,32,1,2,2,2
1072,37,3,6,35,1,3,3,3
1200,48,2,15,37,1,3,3,3
686,38,2,15,36,1,1,1,1
754,37,3,9,32,1,2,1,1
832,30,3,4,30,1,2,2,2
579,36,3,8,30,0,1,1,1
672,38,2,13,34,1,1,1,1
650,37,2,14,30,1,1,1,1
1250,37,2,5,38,0,3,3,3
1299,44,3,6,35,1,3,3,3
1539,36,3,7,34,1,3,3,3
770,39,2,13,38,1,2,2,2
1000,42,2,16,38,1,2,2,2
895,39,2,17,38,0,2,2,2
1205,32,2,13,32,1,3,3,3
750,27,2,11,29,0,1,1,1
654,51,3,5,38,1,1,1,1
433,28,2,11,30,1,1,1,1
1188,28,2,11,30,1,3,3,3
635,29,2,15,33,0,1,1,1
1225,44,3,9,32,1,3,3,3
1031,24,3,9,29,1,2,2,2
1049,39,2,9,32,1,2,2,2
1000,41,2,12,29,1,2,2,2
1105,32,3,10,30,1,3,3,3
809,32,2,11,29,1,2,2,2
1495,34,3,10,32,1,3,3,3
1346,46,3,10,33,0,3,3,3
1200,35,2,10,31,1,3,3,3
800,39,2,15,34,1,2,2,2
800,32,2,16,38,1,2,2,2
1034,39,2,15,36,1,2,2,2
480,28,2,11,34,1,1,1,1
923,54,3,7,34,1,2,2,2
1193,38,2,19,36,1,3,3,3
779,29,2,9,30,1,2,2,2
1495,50,3,13,33,1,3,3,3
650,18,2,4,28,1,1,1,1
1126,30,3,5,32,1,3,3,3
450,19,2,11,33,1,1,1,1
1028,28,2,19,37,1,2,2,2
2404,38,3,8,32,1,3,3,3
1899,49,3,9,36,1,3,3,3
757,35,3,10,33,1,2,2,2
1250,36,3,9,29,1,3,3,3
1162,40,3,8,31,1,3,3,3
1025,29,3,9,29,1,2,2,2
1100,51,3,11,32,0,3,3,3
714,34,3,7,28,1,1,1,1
1411,40,3,14,38,1,3,3,3
2162,51,3,4,38,1,3,3,3
1273,44,3,11,36,0,3,3,3
750,32,3,9,29,1,1,1,1
635,24,2,13,31,1,1,1,1
675,34,2,6,34,1,1,1,1
577,17,2,9,29,1,1,1,1
1250,26,2,6,32,1,3,3,3
1130,38,2,18,37,1,3,3,3
652,37,2,14,36,1,1,1,1
618,34,2,6,30,1,1,1,1
817,37,2,16,33,0,2,2,2
962,39,3,8,32,0,2,2,2
866,30,3,7,28,0,2,2,2
2404,42,3,1,36,1,3,3,3
1126,26,2,16,32,1,3,3,3
723,34,2,15,38,1,1,1,1
1778,43,3,14,36,1,3,3,3
525,31,2,12,30,0,1,1,1
670,33,2,10,30,0,1,1,1
1058,45,3,14,34,0,3,3,3
550,44,2,18,35,1,1,1,1
575,32,3,6,30,0,1,1,1
1160,35,2,17,38,0,3,3,3
500,22,2,11,29,0,1,1,1
795,27,2,17,35,0,2,2,2
500,34,2,20,37,0,1,1,1
740,31,2,23,38,0,1,1,1
1250,45,3,10,33,1,3,3,3
1250,32,3,13,33,1,3,3,3
913,26,3,4,29,1,2,2,2
265,43,2,18,37,1,1,1,1
1250,31,3,7,28,1,3,3,3
1607,41,3,7,36,1,3,3,3
1452,33,3,12,38,1,3,3,3
794,36,3,9,29,1,2,2,2
520,30,3,6,29,0,1,1,1
2162,38,3,9,31,1,3,3,3
826,40,3,20,37,1,2,2,2
937,36,2,16,35,1,2,2,2
1031,43,3,14,33,1,2,2,2
1272,39,2,10,30,1,3,3,3
1136,36,3,16,34,1,3,3,3
800,36,2,19,36,1,2,2,2
1339,42,2,8,33,1,3,3,3
808,40,2,18,38,1,2,2,2
930,44,3,10,31,1,2,2,2
841,38,3,10,29,1,2,2,2
769,45,3,7,38,1,2,2,2
587,40,3,8,29,0,1,1,1
417,39,2,7,28,1,1,1,1
1202,28,3,6,28,1,3,3,3
1154,35,3,18,37,1,3,3,3
1070,41,3,4,32,1,3,3,3
1202,30,3,10,29,1,3,3,3
1202,21,3,6,31,1,3,3,3
850,26,2,7,28,1,2,2,2
1000,46,3,13,35,1,2,2,2
490,33,3,7,31,1,1,1,1
865,38,3,11,31,1,2,2,2
3078,50,3,12,36,1,3,3,3
906,40,3,16,37,1,2,2,2
289,35,2,9,30,1,1,1,1
1250,36,2,14,35,1,3,3,3
1016,18,2,14,37,1,2,2,2
