ID,Country,Region,DataYear,ClassGrade,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Importance_recycling_rubbish,Importance_saving_energy,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Birth_month,Favorite_Season,Allergies,Favorite_Food,Beverage,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Preferred_Status,Role_Model_Type
108,USA,NC,2017,12,17,Right-Handed,177,26,179,1,Walk,0,.365,43,0,0,5,25,Right foot,77.5,80,8,Spring,No,Meat,Water,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",100,145,112,1,20,5,18,20,40,100,100,10,0,5,A lot,High school,Rap/Hip hop,Rich,Other
115,USA,NC,2014,10,18,Right-Handed,171,24,168,1,Car,10,.482,39,401,305,203,23,Right foot,90,90,3,Spring,No,Poultry,Water,4,Yes - broadband connection,In person,30,40,7,1,5,25,2,0,2,10,5,4,0,3,Some,Undergraduate degree,Country,Happy,Doctor or nurse
116,USA,NC,2020,12,18,Right-Handed,182.8,9.5,34,1,Bus,30,.364,41,500,500,1000,28,Same length,76.2,66.04,7,Spring,No,Meat,Water,5,Yes - broadband connection,Text messaging,5,4,10,0,3,2,0,18,5,0,24,10,0,1,Some,High school,Other,Happy,Other
120,USA,NC,2016,11,16,Right-Handed,162.4,23,61,4,Car,15,.443,36,500,500,1000,24,Right foot,92,92,5,Spring,No,Pizza/Pasta,Water,6,Yes - other,Text messaging,200,500,8,1,30,2,7,0,5,4,0,3,0,0,A lot,Graduate degree,Pop,Happy,Doctor or nurse
125,USA,NC,2021,11,17,Right-Handed,188,27,200,2,Bus,15,.471,56,500,800,600,29,Right foot,95,105,5,Summer,No,Pizza/Pasta,Water,4,Yes - broadband connection,Text messaging,120,1400,2,2,8,7,9,1,5,10,60,5,0,3,Some,Graduate degree,Rap/Hip hop,Healthy,Sports person
126,USA,NC,2020,12,15,Right-Handed,290,23,153,3,Bus,10,.578,92,3000,3000,5000,23,Same length,70,62,4,Spring,No,No favorite,Water,5,Yes - other,In person,5,7,1,0,3,2,0,0,0,1,2,0,0,1,Some,Graduate degree,Pop,Rich,Friend
129,USA,NC,2017,12,17,Right-Handed,150,13,148,1,Walk,10,.746,44,950,800,950,14,Left foot,47,49,7,Fall,Yes,Fruit,Powdered drink,5,Yes - broadband connection,In person,100,100,30,1,15,10,10,0,8,8,20,8,10,5,A lot,Graduate degree,Rock and roll,Happy,Doctor or nurse
131,USA,NC,2022,12,17,Right-Handed,162,20.23,162,2,Bus,10,.592,58,900,1000,750,20.23,Same length,55,55,8,Summer,No,Breads/Sandwiches,Water,5,Yes - broadband connection,Text messaging,7,8,0,1,2,1,2,5,10,7,10,2,0,3,Very little,Undergraduate degree,Pop,Rich,Relative
141,USA,NC,2020,11,17,Right-Handed,165,22,149,2,Car,7,.485,39,1000,1000,706,22,Same length,66,68,1,Fall,No,Pizza/Pasta,Water,4,Yes - broadband connection,Text messaging,50,100,5,1,25,5,5,0,0,5,10,5,0,2,A lot,Graduate degree,Pop,Happy,Relative
143,USA,NC,2018,11,16,Right-Handed,161.3,14.7,152,2,Car,12,.362,37,10000,10000,10000,15.5,Left foot,71.12,68.58,5,Fall,Yes,Seafood,Water,4,Yes - broadband connection,Internet chat or instant messaging,80,100,10,2,8,12,9,0,2,5,2,0,0,1,Some,Graduate degree,Pop,Happy,Sports person
145,USA,NC,2021,11,17,Right-Handed,165,24,163,3,Walk,15,.392,27,1000,1000,968,24,Same length,55,55,2,Winter,No,Fruit,Tea,4,Yes - broadband connection,Text messaging,50,100,1,0,40,8,1,4,6,5,50,2,3,1,A lot,Graduate degree,Pop,Rich,Community leader or elder
148,USA,NC,2021,12,17,Right-Handed,177,27,185,2,Walk,5,.432,40,1000,1000,1000,28,Left foot,55,55,2,Fall,No,Rice/Noodle dishes,Water,4,Yes - broadband connection,Text messaging,13,17,17,2,26,3,12,5,20,4,120,3,1,3,A lot,Graduate degree,Rock and roll,Healthy,Coach or club leader
149,USA,NC,2015,11,17,Right-Handed,175,22,140,1,Car,15,.25,67,1000,995,1000,20,Right foot,25,30,12,Winter,Yes,Seafood,Energy drink,3,Yes - dial-up connection,In person,15,50,20,2,10,1,32,2,30,45,15,0,25,1,Some,High school,Rap/Hip hop,Happy,Business person
150,USA,NC,2020,12,17,Left-Handed,168,24,160,2,Car,5,.596,48,1000,999,652,24,Same length,80,70,1,Fall,No,Desserts,Water,4,Yes - other,Text messaging,60,50,10,8,12,2,1,0,5,10,18,10,20,3,A lot,Graduate degree,Rap/Hip hop,Happy,Relative
151,USA,NC,2020,12,17,Right-Handed,180,28,174,1,Car,10,.462,51,1000,800,200,24,Right foot,70,55,11,Fall,No,Meat,Energy drink,3,Yes - broadband connection,Text messaging,100,90,20,30,30,15,15,25,30,40,30,10,30,20,A lot,Undergraduate degree,Rap/Hip hop,Happy,Religious figure
152,USA,NC,2018,12,17,Right-Handed,167,24,158,2,Car,7,.356,37,800,500,400,24,Same length,70,75,9,Winter,No,Rice/Noodle dishes,Water,3,Yes - other,Text messaging,35,39,5,1,20,7,1,2,10,5,10,2,4,2,A lot,Graduate degree,Pop,Happy,Friend
153,USA,NC,2012,12,17,Right-Handed,155,24,160,1,Walk,12,.468,31,550,650,400,24,Same length,79,81,6,Spring,Yes,Pizza/Pasta,Water,6,Yes - broadband connection,In person,10,15,9,2,20,12,5,0,6,3,6,3,0,4,Some,Undergraduate degree,Other,Happy,Religious figure
158,USA,NC,2017,10,15,Right-Handed,173,25,169,2,Car,18,.317,31,310,385,5,25,Same length,60,70,2,Winter,Yes,Seafood,Water,4,Yes - broadband connection,E-mail,2,1,1,1,8,8,1,8,0,0,4,2,5,2,A lot,Less than high school,Techno/Electronic,Rich,Religious figure
159,USA,NC,2015,12,15,Right-Handed,157,23,156,2,Bus,60,.402,38,900,1000,1000,22,Right foot,55,55,5,Fall,No,Fruit,Coffee,3,Yes - broadband connection,Cell phone,50,75,0,0,10,21,0,0,25,7,14,0,0,7,A lot,Other,Punk rock,Famous,Musician or singer
201,USA,NC,2022,11,16,Right-Handed,175,28,167,1,Bus,4,.364,41,658,187,545,28,Same length,70,70,1,Summer,No,Breads/Sandwiches,Water,5,Yes - other,In person,8,8,12,1,1,5,10,0,4,2,2,8,2,4,Very little,Some college,Pop,Happy,Relative
202,USA,NC,2018,12,21,Ambidextrous,178,27,184,2,Walk,10,.317,43,738,743,845,27.5,Left foot,40,55,8,Winter,Yes,Meat,Soft drink (non-caffeinated),1,Yes - broadband connection,Text messaging,150,150,18,1,20,0,15,20,3,3,2,7,0,2,A lot,Graduate degree,Other,Healthy,Doctor or nurse
203,USA,NC,2015,12,16,Ambidextrous,163,23,156,1,Car,10,.313,38,70,90,75,21,Right foot,73,75,4,Spring,No,Poultry,Water,4,Yes - broadband connection,Text messaging,20,20,10,1,2,35,5,2,1,6,20,5,0,5,Very little,Graduate degree,Pop,Happy,Musician or singer
205,USA,NC,2015,12,49,Right-Handed,150,12,70,1,Car,15,4.3,28,800,700,599,32,Same length,60,64,3,Summer,Yes,Pizza/Pasta,Juice,4,Yes - broadband connection,Cell phone,4,6,1,1,5,4,1,0,3,1,4,4,40,8,A lot,Other,Country,Healthy,Relative
