wage,hours,IQ,exper,degree,sibs,brthord,meduc
769,40,93,11,2,1,2,2
650,40,96,13,1,3,1,1
600,40,91,13,1,1,1,1
1000,40,95,16,2,1,2,2
921,38,102,9,2,1,2,2
958,50,105,17,2,1,2,2
1360,45,109,6,3,3,3,3
850,40,72,19,2,2,2,2
471,44,101,13,1,3,1,1
1275,40,123,9,3,0,3,3
1615,50,113,10,3,2,3,3
873,65,95,14,2,3,2,2
2137,45,145,17,3,2,3,3
800,40,115,11,2,0,1,2
1000,40,103,17,2,1,2,2
666,75,129,8,1,2,1,1
782,40,92,9,2,3,2,2
1572,35,108,7,3,1,3,3
1274,40,106,11,3,0,3,3
1239,45,109,16,3,3,3,3
1027,27,100,12,2,3,2,2
981,40,122,9,2,3,2,2
770,40,105,7,2,3,2,2
808,60,109,14,2,2,2,2
1100,40,105,22,3,1,3,3
462,40,112,11,1,3,1,1
769,55,120,8,2,1,2,2
1452,45,115,1,3,3,3,3
1748,55,123,10,3,1,3,3
840,50,96,18,2,2,2,2
963,40,109,15,2,3,2,2
442,60,82,12,1,2,1,1
600,40,120,12,1,3,1,1
1455,40,109,8,3,1,3,3
2310,40,114,12,3,2,3,3
1682,45,126,10,3,1,3,3
1235,40,82,10,3,1,3,3
855,45,119,11,2,3,2,2
675,40,105,8,1,3,1,1
1100,37,100,14,3,1,3,3
732,40,73,17,1,3,1,1
1200,40,96,15,3,3,3,3
1694,30,113,9,3,3,3,3
686,55,106,15,1,3,1,1
754,40,104,9,1,1,2,1
672,61,96,13,1,2,1,1
1186,30,91,8,3,1,3,3
1122,48,111,12,3,3,3,3
903,40,91,6,2,3,2,2
900,40,86,17,2,3,2,2
1110,52,106,11,3,3,3,3
1000,45,90,16,2,3,2,2
601,48,111,15,1,0,1,1
600,40,106,10,1,3,1,1
1188,40,105,11,3,3,3,3
635,40,105,15,1,2,1,1
1225,40,118,9,3,0,3,3
865,40,95,15,2,3,2,2
1000,45,123,12,2,3,2,2
1105,40,103,10,3,1,3,3
1495,45,109,10,3,3,3,3
1346,50,128,10,3,3,3,3
1200,40,97,10,3,3,3,3
500,40,96,6,1,3,1,1
800,40,112,15,2,3,2,2
1034,40,97,15,2,3,2,2
884,40,106,19,2,2,2,2
1394,40,118,11,3,2,3,3
1495,45,113,13,3,3,3,3
650,40,100,4,1,3,1,1
670,40,93,9,1,2,1,1
1126,40,119,5,3,1,3,3
2404,50,106,8,3,2,3,3
1899,40,127,9,3,0,3,3
1250,40,115,9,3,2,3,3
1162,48,102,8,3,3,3,3
1318,35,118,16,3,1,3,3
1411,45,121,14,3,3,3,3
1273,55,120,11,3,1,3,3
