Year,Player,School,GradStatus,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,Drafted_Round,Drafted_Pick,BMI,Player_Type,Position_Type
2009,Will Davis\DaviWi99,Illinois,Yes,4.84,83.82,27,292.1,7.38,4.45,6,204,33.5100731,defense,defensive_lineman
2009,Michael Oher\OherMi20,Mississippi,Yes,5.16,77.47,21,261.62,7.81,4.6,1,23,37.61227495,offense,offensive_lineman
2009,Cedric Peerman\PeerCe00,Virginia,Yes,4.34,101.6,27,297.18,6.99,4.29,6,185,31.89729662,offense,backs_receivers
2009,Aaron Maybin\MaybAa99,Penn St.,No,4.64,96.52,22,314.96,7.52,4.38,1,11,30.30892059,defense,defensive_lineman
2009,Eric Wood\WoodEr20,Louisville,Yes,5.19,77.47,30,251.46,7.56,4.51,1,28,37.73399752,offense,offensive_lineman
2009,Bernard Scott\ScotBe00,Abilene Christian,Yes,4.44,91.44,21,317.5,6.82,4.08,6,209,28.69671754,offense,backs_receivers
2009,Morgan Trent\TrenMo99,Michigan,Yes,4.5,96.52,23,322.58,7.05,4.01,6,179,25.46301912,defense,defensive_back
2009,James Davis\DaviJa03,Clemson,Yes,4.45,81.28,17,276.86,7.15,4.37,6,195,30.40451664,offense,backs_receivers
2009,Coye Francies\FranCo99,San Jose St.,Yes,4.63,91.44,24,312.42,6.81,4.24,6,191,25.09025313,defense,defensive_back
2009,John Phillips\PhilJo00,Virginia,No,4.78,85.09,20,284.48,6.84,4.27,6,208,29.76395083,offense,backs_receivers
2009,Stephen Hodge\HodgSt99,TCU,No,4.59,88.9,22,292.1,7.21,4.34,6,197,31.73577964,defense,line_backer
2009,Knowshon Moreno\MoreKn00,Georgia,No,4.5,90.17,25,292.1,6.84,4.27,1,12,30.26504638,offense,backs_receivers
2009,Robert Ayers\AyerRo99,Tennessee,Yes,4.77,74.93,18,259.08,7.56,4.51,1,18,33.99732012,defense,defensive_lineman
2009,Brandon Pettigrew\PettBr00,Oklahoma St.,Yes,4.8,83.82,22,299.72,7.12,4.37,1,20,31.18692856,offense,backs_receivers
2009,Jarius Wynn\WynnJa99,Georgia,Yes,4.94,80.01,19,271.78,7.4,4.58,6,182,34.37229056,defense,defensive_lineman
2009,Brandon Underwood\UndeBr99,Cincinnati,Yes,4.48,92.71,16,317.5,7,4.2,6,187,26.12268282,defense,defensive_back
2009,B.J. Raji\RajiBJ99,Boston Col.,Yes,5.12,81.28,33,261.62,7.9,4.69,1,9,44.4613339,defense,defensive_lineman
2009,Clay Matthews\MattCl99,USC,Yes,4.58,90.17,23,307.34,6.9,4.18,1,26,29.9976354,defense,line_backer
2009,Brian Cushing\CushBr99,USC,Yes,4.64,88.9,30,304.8,6.84,4.22,1,15,30.37260584,defense,line_backer
2009,Eugene Monroe\MonrEu20,Virginia,No,5.18,72.39,23,279.4,7.86,4.78,1,8,36.64167652,offense,offensive_lineman
2009,Larry English\EnglLa99,Northern Illinois,Yes,4.74,91.44,24,271.78,7.26,4.38,1,16,32.73972659,defense,line_backer
2009,Jason Smith\SmitJa22,Baylor,Yes,5.09,60.96,33,243.84,7.53,4.69,1,2,36.64167652,offense,offensive_lineman
2009,Vontae Davis\DaviVo99,Illinois,No,4.4,91.44,25,317.5,6.75,4.07,1,25,28.31246274,defense,defensive_back
2009,Malcolm Jenkins\JenkMa99,Ohio St.,No,4.51,83.82,15,314.96,6.59,4.08,1,14,27.66708994,defense,defensive_back
2009,DeAndre Wright\WrigDe99,New Mexico,Yes,4.52,87.63,17,309.88,7,4.44,6,200,27.61511144,defense,defensive_back
2009,Darrius Heyward-Bey\HeywDa00,Maryland,Yes,4.3,97.79,16,320.04,6.8,4.18,1,7,26.96212778,offense,backs_receivers
2009,Ziggy Hood\HoodEv99,Missouri,Yes,4.83,83.82,34,274.32,7.5,4.55,1,32,37.49704425,defense,defensive_lineman
2009,Aaron Curry\CurrAa99,Wake Forest,Yes,4.52,93.98,25,314.96,7.15,4.51,1,4,32.61133551,defense,line_backer
2010,Dan Williams\WillDa99,Tennessee,Yes,5.19,81.28,27,243.84,7.88,4.87,1,26,41.98388469,defense,defensive_lineman
2010,Sean Weatherspoon\WeatSe99,Missouri,Yes,4.62,101.6,34,312.42,6.99,4.38,1,19,31.53192523,defense,line_backer
2010,Arthur Moats\MoatAr00,James Madison,No,4.64,92.71,24,309.88,7.22,4.37,6,178,33.36325552,defense,line_backer
2010,David Gettis\GettDa00,Baylor,Yes,4.43,87.63,15,314.96,6.94,4.41,6,198,27.12286201,offense,backs_receivers
2010,Greg Hardy\HardGr99,Mississippi,No,4.82,88.9,21,297.18,7.25,4.65,6,175,34.20404292,defense,defensive_lineman
2010,Jermaine Gresham\GresJe00,Oklahoma,No,4.66,88.9,20,287.02,7.07,4.53,1,21,30.94976561,offense,backs_receivers
2010,Dezmon Briscoe\BrisDe00,Kansas,No,4.66,83.82,9,292.1,7.1,4.57,6,191,26.57695453,offense,backs_receivers
2010,Joe Haden\HadeJo99,Florida,No,4.52,88.9,18,317.5,6.94,4.34,1,7,26.91776014,defense,defensive_back
2010,Carlton Mitchell\MitcCa00,South Florida,No,4.46,91.44,16,309.88,6.96,4.55,6,177,26.87288171,offense,backs_receivers
2010,Sam Young\YounSa21,Notre Dame,Yes,5.2,74.93,29,264.16,7.73,4.87,6,179,34.7140605,offense,offensive_lineman
2010,Eric Olsen\OlseEr20,Notre Dame,No,5.25,74.93,35,236.22,7.5,4.82,6,183,37.24710723,offense,offensive_lineman
2010,Ndamukong Suh\SuhxNd99,Nebraska,Yes,5.03,90.17,32,266.7,7.21,4.44,1,2,37.36882981,defense,defensive_lineman
2010,Jahvid Best\BestJa00,California,No,4.34,82.55,18,287.02,6.75,4.17,1,30,28.55323395,offense,backs_receivers
2010,James Starks\StarJa00,Buffalo,Yes,4.5,91.44,15,302.26,6.89,4.23,6,193,27.98925646,offense,backs_receivers
2010,Bryan Bulaga\BulaBr20,Iowa,No,5.2,69.85,26,248.92,7.7,4.75,1,23,37.23458391,offense,offensive_lineman
2010,Kareem Jackson\JackKa99,Alabama,No,4.4,95.25,13,299.72,6.92,4.14,1,20,28.12278319,defense,defensive_back
2010,Trindon Holliday\HollTr00,LSU,Yes,4.34,106.68,10,294.64,6.54,4.48,6,197,27.62356218,offense,backs_receivers
2010,Shelley Smith\SmitSh22,Colorado St.,Yes,5.03,86.36,26,284.48,7.67,4.71,6,187,37.49704425,offense,offensive_lineman
2010,Jerry Hughes\HughJe99,TCU,No,4.65,87.63,26,299.72,6.99,4.15,1,31,32.73972659,defense,line_backer
2010,Tyson Alualu\AluaTy99,California,Yes,4.87,90.17,21,294.64,7.15,4.43,1,10,37.87536998,defense,defensive_lineman
2010,Eric Berry\BerrEr99,Tennessee,No,4.4,109.22,19,330.2,6.8,4.23,1,5,28.61645087,defense,defensive_back
2010,Ryan Mathews\MathRy00,Fresno St.,Yes,4.37,91.44,19,307.34,7,4.33,1,12,29.5658118,offense,backs_receivers
2010,Jared Odrick\OdriJa99,Penn St.,Yes,5.03,73.66,26,269.24,7.22,4.59,1,28,36.04876914,defense,defensive_lineman
2010,Devin McCourty\McCoDe99,Rutgers,Yes,4.38,91.44,16,320.04,6.7,4.07,1,27,26.91776014,defense,defensive_back
2010,Ted Larsen\LarsTe20,North Carolina St.,Yes,5.19,60.96,26,243.84,7.81,4.66,6,205,37.99700484,offense,offensive_lineman
