wage,hours,IQ,KWW,educ,married,urban
825,40,108,46,3,1,1
562,40,74,27,2,1,1
1400,40,116,43,3,1,1
1081,40,114,50,3,1,1
1154,45,111,37,3,1,0
930,43,132,44,3,1,0
921,38,102,45,3,1,0
1360,45,109,39,3,1,1
850,40,72,36,2,1,1
830,44,105,29,3,1,1
471,44,101,34,2,1,1
1615,50,113,49,3,1,1
873,65,95,36,2,1,1
1053,38,114,35,3,1,1
1602,60,124,32,3,1,1
1188,40,93,40,3,1,1
800,40,115,39,3,1,1
635,40,128,35,3,0,1
1000,40,103,40,2,1,1
2668,75,108,41,3,1,1
1779,40,132,42,3,1,1
1572,35,108,39,3,1,1
1081,40,123,46,3,1,0
1748,55,125,50,3,1,1
981,40,122,41,3,0,1
1154,50,94,37,3,1,1
1155,40,102,36,2,1,1
808,60,109,47,3,1,1
1749,40,108,32,2,0,1
462,40,112,35,2,1,1
1748,55,123,48,3,1,1
840,50,96,34,2,1,1
963,40,109,43,2,0,0
600,40,120,45,3,1,0
1682,45,126,40,3,1,1
1235,40,82,45,2,1,1
855,45,119,45,3,1,1
1040,40,115,49,3,1,1
675,40,105,27,3,1,0
996,50,114,41,2,1,1
732,40,73,28,2,1,1
1200,40,96,48,2,1,1
754,40,104,37,3,1,1
832,50,104,30,3,1,1
579,44,122,36,3,1,0
2500,40,95,51,3,1,1
1076,45,105,24,2,0,1
750,40,94,18,2,1,1
1186,30,91,41,3,1,1
1250,46,110,37,2,1,0
1122,48,111,44,3,1,1
865,40,110,35,3,1,1
1299,60,125,44,3,0,1
625,40,110,32,2,1,1
962,40,85,41,2,1,1
1110,52,106,42,2,1,0
1282,45,112,41,3,0,1
895,40,86,39,2,1,0
600,40,106,32,3,1,1
433,40,98,28,2,0,1
1188,40,105,28,2,1,1
1225,40,118,44,3,1,1
1049,55,120,39,2,1,1
1000,45,123,41,2,1,1
1346,40,90,44,3,1,1
809,65,125,32,2,1,1
1495,45,109,34,3,1,1
1346,50,128,46,3,0,0
1200,40,97,35,2,1,1
900,40,78,21,2,1,1
480,40,59,28,2,0,1
923,40,105,54,3,1,1
2771,50,134,45,3,1,1
950,60,98,36,2,1,1
1394,40,118,41,3,1,0
1495,45,113,50,3,1,1
650,40,100,18,2,1,1
1126,40,119,30,3,1,1
1028,40,111,28,2,1,1
757,40,113,35,3,1,1
1250,40,115,36,3,1,1
1162,48,102,40,3,1,1
1025,40,85,29,3,1,1
714,35,125,34,3,1,1
1273,55,120,44,3,1,0
1140,48,109,43,2,1,1
942,40,85,36,2,1,1
1000,60,101,30,2,1,1
1250,40,91,28,2,1,1
400,40,75,33,2,1,1
590,40,109,27,3,1,0
1250,50,102,26,2,0,1
618,42,104,34,2,1,1
529,40,110,31,3,1,0
817,40,95,37,2,1,0
962,40,120,39,3,1,0
866,40,121,30,3,1,0
2404,50,96,42,3,1,1
1160,40,92,32,2,1,0
723,40,98,34,2,1,1
1778,40,109,43,3,1,1
1903,48,118,44,3,1,0
971,40,95,42,3,1,1
500,45,90,47,2,1,0
1058,45,98,45,3,1,0
727,55,106,40,3,0,1
865,40,114,26,2,1,0
1304,45,119,36,3,1,0
575,40,85,32,3,1,0
623,45,98,34,3,1,0
515,45,114,30,3,1,0
600,40,107,32,2,1,0
1160,40,84,35,2,1,0
500,50,97,34,2,1,0
913,40,110,26,3,1,1
445,40,80,31,2,1,0
1607,56,108,41,3,1,1
1452,35,69,33,3,1,1
1391,50,109,38,2,1,1
520,50,107,30,3,1,0
1924,50,112,47,3,1,1
923,50,123,44,3,1,1
1115,40,118,40,3,1,1
449,36,91,20,2,0,1
937,40,102,36,2,1,1
1272,40,107,39,2,1,1
1136,50,117,36,3,1,1
800,45,110,36,2,1,1
375,40,99,29,2,1,0
537,40,97,32,2,0,1
1082,55,95,40,2,1,1
841,40,102,38,3,1,1
587,38,117,40,3,1,0
1058,40,89,28,2,1,1
417,48,131,39,2,0,1
1154,40,98,35,3,1,1
1202,40,84,21,3,1,1
1000,40,112,47,3,1,1
1586,40,127,48,3,1,1
3078,65,120,50,3,1,1
952,40,99,34,3,1,1
289,40,94,35,2,1,1
620,40,99,22,2,1,1
1050,40,119,37,3,0,1
654,50,121,49,3,1,1
1202,40,101,40,3,1,1
666,70,117,34,3,1,1
905,45,109,41,3,1,1
1011,40,104,43,2,1,1
1155,45,85,39,2,1,1
1025,40,104,25,2,1,1
1001,40,109,48,2,1,1
796,48,119,31,3,1,1
1230,50,96,33,3,1,1
1000,45,103,29,3,1,1
2067,40,106,41,3,1,1
951,40,86,33,2,1,1
1151,48,87,41,2,1,1
841,44,106,40,2,1,1
400,70,100,43,2,1,1
1175,45,111,38,2,1,1
1442,40,114,38,2,1,1
538,55,98,45,3,1,1
750,60,74,23,2,1,1
841,48,110,37,3,0,1
700,50,130,29,3,1,1
800,45,98,31,2,1,0
1250,40,125,27,3,1,1
1105,40,104,29,3,1,1
475,52,98,33,3,0,1
762,58,104,37,3,1,0
721,40,134,38,3,0,1
800,50,92,28,2,1,1
824,42,92,37,2,1,1
1400,42,108,38,3,1,1
668,43,109,29,2,1,0
1111,40,103,33,3,1,0
962,40,120,25,3,1,0
1010,50,104,37,2,1,0
600,40,96,22,2,1,1
850,44,115,37,2,1,1
793,40,96,43,2,1,0
670,50,108,43,2,1,1
876,45,116,35,3,1,1
1223,40,107,34,2,1,0
910,30,95,27,2,1,1
1206,40,110,37,2,1,1
745,40,94,40,3,0,0
550,40,110,35,3,1,0
615,40,100,31,3,1,0
879,70,90,43,2,0,1
465,43,84,33,3,1,1
1100,40,92,37,3,1,1
641,45,125,44,3,1,1
950,40,98,40,2,1,1
375,60,75,24,2,0,0
673,40,91,29,2,1,0
692,50,120,34,2,1,0
1111,40,98,32,3,1,1
1368,45,107,31,3,1,1
1250,60,115,40,2,1,1
1575,40,117,28,2,1,1
758,38,126,42,3,0,1
489,55,104,47,3,1,1
1126,40,116,33,2,1,1
500,70,83,20,2,1,1
1200,50,84,13,2,1,1
565,45,82,30,2,1,0
1920,40,109,32,2,1,0
684,45,111,25,3,1,1
233,60,96,32,3,1,0
975,40,101,33,3,1,0
1366,40,90,35,2,1,1
700,40,120,38,3,1,1
1200,40,108,29,2,1,1
1161,40,99,43,3,1,1
1026,45,85,46,2,1,1
1111,45,118,43,3,1,1
1154,40,109,42,3,1,1
310,40,104,37,3,0,0
1000,40,96,34,3,0,1
350,40,109,48,2,1,0
765,45,94,38,2,1,0
938,50,130,39,3,1,0
2099,55,119,38,3,1,1
350,40,74,24,2,1,1
940,48,104,25,2,1,1
1202,40,124,23,3,1,1
450,40,94,29,3,1,0
1058,40,120,44,3,1,0
318,40,67,35,2,1,1
556,40,69,26,2,0,1
958,60,98,42,2,1,1
995,40,92,23,2,1,1
606,45,100,39,3,0,0
1377,37,118,48,3,1,1
1250,32,98,40,2,1,1
1082,40,111,44,3,1,1
913,40,101,33,3,1,1
884,46,120,45,3,1,0
698,43,97,33,2,1,1
812,40,131,44,3,0,0
815,40,114,25,2,1,0
600,80,116,36,2,1,0
1000,65,93,32,2,1,1
500,40,98,26,3,1,0
800,50,110,35,3,1,1
766,40,109,31,2,1,0
750,43,94,38,3,1,0
795,52,89,35,2,1,1
723,40,102,44,2,1,1
1039,40,113,49,3,1,1
1162,45,89,39,2,1,1
1270,40,104,34,3,1,1
350,45,116,36,3,1,1
963,40,85,32,3,1,1
802,40,99,26,2,1,1
751,40,114,37,3,1,1
866,40,114,48,3,1,1
675,40,77,42,2,1,1
375,40,89,24,3,1,1
1442,40,132,39,3,1,1
550,56,99,42,2,1,1
950,44,96,26,3,1,1
1679,55,127,45,3,1,1
1250,40,102,30,3,1,1
1442,40,110,40,3,1,1
865,40,130,39,3,1,1
1000,40,101,36,2,1,1
852,44,89,36,2,1,1
770,40,80,25,2,1,1
1329,55,115,56,3,1,1
577,55,108,47,3,1,1
1040,40,101,38,2,1,1
600,40,115,40,3,0,1
480,40,76,29,2,0,1
988,48,91,39,2,1,1
478,45,90,35,2,1,1
485,40,120,43,2,1,1
705,40,89,32,2,1,1
1550,40,104,47,2,1,0
960,40,107,23,2,1,1
1346,40,112,39,3,1,1
