wage,IQ,degree,exper,age,married,sibs,meduc
769,93,2,11,31,1,1,2
808,119,3,11,37,1,1,2
562,74,2,14,34,1,3,1
1154,111,3,13,36,1,2,3
1000,95,2,16,36,1,1,2
930,132,3,8,38,1,1,2
1360,109,3,6,36,1,3,3
1615,113,3,10,36,1,2,3
1053,114,3,12,32,1,0,2
1188,93,3,16,35,1,2,3
800,115,3,11,35,1,0,2
635,128,3,8,36,0,2,1
1000,103,2,17,34,1,1,2
1779,132,3,8,32,1,1,3
782,92,3,9,31,1,3,2
1274,106,3,11,31,1,0,3
692,108,2,21,38,1,3,1
1027,100,3,12,38,1,3,2
981,122,3,9,35,0,3,2
770,105,3,7,30,1,3,2
1000,104,3,11,30,1,1,2
462,112,2,11,29,1,3,1
769,120,3,8,32,0,1,2
875,124,3,9,31,0,2,2
1452,115,3,1,30,1,3,3
1151,98,2,12,29,1,3,3
840,96,2,18,35,1,2,2
1455,109,3,8,36,1,1,3
2310,114,3,12,38,1,2,3
855,119,3,11,32,1,3,2
1040,115,3,8,35,1,3,2
1000,97,2,17,36,1,1,2
675,105,3,8,31,1,3,1
1100,100,2,14,30,1,1,3
996,114,2,5,31,1,2,2
732,73,2,17,36,1,3,1
1694,113,3,9,29,0,3,3
686,106,2,15,36,1,3,1
832,104,3,4,30,1,1,2
2500,95,3,12,36,1,3,3
1186,91,3,8,33,1,1,3
833,96,3,9,31,1,3,2
1250,110,2,5,38,1,1,3
1122,111,3,12,31,1,3,3
865,110,3,1,31,1,3,2
900,86,2,17,37,1,3,2
962,85,2,15,38,1,1,2
1110,106,2,11,33,1,3,3
1282,112,3,6,31,0,2,3
1000,90,2,16,38,1,3,2
601,111,2,15,33,1,0,1
1188,105,2,11,30,1,3,3
865,95,2,15,32,0,3,2
1031,112,3,9,29,1,3,2
1000,123,2,12,29,1,3,2
1105,103,3,10,30,1,1,3
1924,121,3,11,35,1,3,3
1346,90,3,9,38,1,1,3
1325,97,2,12,28,1,1,3
900,78,2,16,33,1,3,2
800,112,2,15,34,1,3,2
980,101,2,4,36,1,1,2
884,106,2,19,34,1,2,2
480,59,2,11,34,0,0,1
513,119,3,8,31,0,1,1
1105,93,2,17,37,0,2,3
2771,134,3,6,34,1,3,3
779,84,2,9,30,1,0,2
650,100,2,4,28,1,3,1
1126,119,3,5,32,1,1,3
450,67,2,11,33,0,3,1
2404,106,3,8,32,1,2,3
1250,115,3,9,29,1,2,3
1162,102,3,8,31,1,3,3
1025,85,3,9,29,1,3,2
1318,118,3,16,37,1,1,3
1411,121,3,14,38,1,3,3
1273,120,3,11,36,1,1,3
951,116,2,9,30,1,3,2
635,91,2,13,31,1,2,1
400,75,2,11,32,1,3,1
590,109,3,10,29,1,2,1
652,113,2,14,36,0,1,1
618,104,2,6,30,1,3,1
2404,96,3,1,36,1,3,3
723,98,2,15,38,1,1,1
971,95,3,5,37,1,1,2
500,90,2,19,37,1,0,1
500,115,2,14,32,1,1,1
865,114,2,6,30,1,2,2
1304,119,3,9,31,1,1,3
515,114,3,8,28,1,3,1
990,108,3,13,33,1,3,2
1160,84,2,17,38,1,3,3
500,86,2,11,29,1,3,1
795,88,2,17,35,1,2,2
500,97,2,20,37,1,2,1
740,84,2,23,38,1,3,1
1250,117,3,10,33,1,1,3
1250,104,3,13,33,1,3,3
1346,99,3,9,30,1,2,3
445,80,2,19,38,1,3,1
265,101,2,18,37,1,1,1
1250,117,3,7,28,1,1,3
794,114,3,9,29,1,1,2
500,90,3,10,38,1,3,1
1155,106,3,10,37,1,3,3
2162,116,3,9,31,1,2,3
923,123,3,8,31,1,1,2
1115,118,3,12,33,1,1,3
826,114,3,20,37,1,3,2
937,102,2,16,35,1,3,2
978,104,2,19,36,1,3,2
1031,112,3,14,33,0,3,2
1272,107,2,10,30,1,3,3
800,110,2,19,36,1,3,2
1339,96,2,8,33,1,0,3
1063,90,2,14,32,1,2,3
935,97,2,10,29,1,2,2
375,99,2,12,30,1,3,1
537,97,2,14,31,0,2,1
930,126,3,10,31,0,3,2
548,86,2,7,33,1,3,1
841,102,3,10,29,1,3,2
769,105,3,7,38,0,2,2
587,117,3,8,29,1,3,1
1924,112,3,17,38,1,1,3
1058,89,2,7,29,1,2,3
417,131,2,7,28,0,1,1
1070,124,3,4,32,1,0,3
711,100,3,13,36,1,1,1
1202,84,3,6,31,1,2,3
850,113,2,7,28,1,1,2
1000,102,3,13,35,1,3,2
865,111,3,11,31,1,3,2
3078,120,3,12,36,1,1,3
898,101,3,7,35,0,3,2
952,99,3,10,31,1,1,2
571,78,3,10,29,0,3,1
445,110,2,15,32,0,2,1
1444,120,3,12,37,1,1,3
962,108,2,19,36,1,3,2
1075,103,2,17,33,1,3,3
620,99,2,10,29,1,3,1
1050,119,3,7,37,0,2,2
1079,87,2,18,36,1,3,3
654,121,3,12,34,1,1,1
1038,103,3,8,36,1,2,2
1924,99,3,16,37,1,0,3
666,117,3,8,32,1,0,1
812,98,2,10,29,0,3,2
577,104,3,6,30,1,2,1
1011,104,2,20,37,1,0,2
1025,104,2,12,29,1,3,2
1230,96,3,11,30,1,3,3
1000,103,3,8,32,1,3,2
912,96,3,11,30,1,2,2
600,114,2,8,30,1,3,1
951,86,2,13,31,1,3,2
711,110,3,8,32,1,3,1
400,100,2,12,32,1,3,1
1175,111,2,17,34,1,0,3
1202,100,2,18,37,1,0,3
1442,114,2,16,33,1,2,3
700,130,3,14,38,1,1,1
475,98,3,12,30,0,3,1
962,120,2,18,36,1,3,2
721,134,3,9,30,0,3,1
800,92,2,18,34,1,0,2
824,92,2,19,38,1,1,2
1442,118,3,6,29,1,2,3
1038,119,2,20,36,1,3,2
668,109,2,11,29,1,2,1
