pigID,diet,sanitary,breed,weaned,DT,DE,BN,DO,DP,AG,FF
33,a,2,2,3,1,0,6,2,4,3,12
60,a,2,1,4,2,0,2,0,0,3,0
79,b,1,1,3,3,0,1,6,0,2,0
96,c,1,2,2,7,0,5,9,0,3,0
111,d,1,2,1,1,0,17,2,3,1,2
158,c,2,2,4,2,0,11,1,9,2,2
172,b,1,2,4,2,0,7,2,5,1,0
249,a,2,2,4,1,0,0,0,2,0,0
253,b,1,1,4,7,0,1.7,2,6,2,0
329,b,2,1,4,5,0,2,0,0,0,0
338,d,1,1,1,4,0,32.2,1,9,8,1
356,b,2,2,2,2,0,3,3,5,21,0
357,b,1,2,1,18,0,11,5,2,9,0
367,c,1,1,3,15,0,3,1,11,6,0
427,b,1,2,2,0,0,3,0,0,3,0
543,c,1,2,1,6,0,6,3,2,3,1
692,a,1,1,3,5,0,5.7,7,1,2,0
762,a,1,2,1,3,0,1,0,0,1,0
790,a,1,1,1,5,0,12.4,5,3,4,0
810,b,2,2,2,0,0,2,2,0,1,0
825,a,1,2,1,9,0,8,6,2,3,1
929,d,1,2,2,7,0,0,2,5,11,0
967,b,1,2,1,2,0,0,1,2,5,0
1009,d,1,1,4,13,1.6,6,31,8,8,3
1034,c,2,1,4,2,0,9,1,3,1,0
1072,c,2,2,2,1,0,7,0,4,15,0
1121,b,1,2,4,11,1,13,1,1,3,7
1151,d,2,2,1,1,0,5,0,7,3,3
1325,a,2,2,4,7,0,10,11,3,0,1
1330,d,2,2,2,2,0,8,3,3,5,0
1396,b,1,2,4,7,0,2,1,0,8,1
1478,b,1,1,4,10,1,6.7,1,2,0,0
1517,b,1,2,2,5,0,7,0,7,17,2
1588,b,2,2,4,1,0,6,13,4,4,0
1598,b,1,1,2,5,1.6,15.1,0,3,0,1
1646,c,1,1,4,4,0,17.7,4,3,2,0
1684,c,1,2,2,11,0,14,2,7,11,1
1697,c,2,1,3,3,0,13,1,6,4,0
1704,d,1,1,2,9,0.3,1,1,1,2,5
1833,a,1,2,4,13,0,4,0,1,1,0
1862,d,1,1,2,1,0,5,0,0,3,0
1867,d,1,1,4,3,0,7.4,4,6,4,2
1869,a,1,1,1,1,0,3,0,3,5,0
1946,b,2,1,1,2,0,9,5,0,4,0
1952,d,1,2,4,1,0,5,1,1,1,0
1954,a,1,2,1,5,0,4,1,0,3,0
1957,c,1,2,3,9,0,11,3,14,0,0
2060,c,2,1,4,4,0,2,1,1,4,0
2098,b,2,2,3,5,0,9,1,2,4,2
2217,a,1,2,1,8,0,7,0,0,3,0
2229,a,2,1,4,10,0,3,1,2,0,1
2282,d,1,2,4,3,0,5,6,0,1,0
2285,d,2,1,4,4,1,3,5,9,2,1
2443,c,1,2,4,4,0,3,3,0,0,0
2463,b,2,1,1,9,0,5,2,3,9,0
2510,d,1,2,4,14,0,4,9,5,9,11
