wage,IQ,KWW,degree,exper,sibs,brthord,feduc
769,93,35,2,11,1,2,2
650,96,32,2,13,3,1,1
562,74,27,2,14,3,1,1
1400,116,43,3,14,1,3,3
1081,114,50,3,8,2,3,3
1154,111,37,3,13,2,3,3
921,102,45,3,9,1,2,2
900,125,40,3,4,2,2,2
1318,119,24,3,7,3,3,3
850,72,36,2,19,2,2,2
830,105,29,3,4,3,2,2
471,101,34,2,13,3,1,1
1275,123,37,3,9,0,3,3
1053,114,35,3,12,0,2,2
1188,93,40,3,16,2,3,3
1417,125,41,3,9,3,3,3
1424,98,41,3,15,1,3,3
2668,108,41,3,12,1,3,3
1779,132,42,3,8,1,3,3
1572,108,39,3,7,1,3,3
1081,123,46,3,11,1,3,3
1318,122,47,3,10,1,3,3
1027,100,40,3,12,3,2,2
1748,125,50,3,12,1,3,3
981,122,41,3,9,3,2,2
1154,94,37,3,11,1,3,3
1155,102,36,2,16,1,3,3
1100,105,45,2,22,1,3,3
1749,108,32,2,13,3,3,3
1000,104,36,3,11,1,2,2
769,120,49,3,8,1,2,2
875,124,40,3,9,2,2,2
1375,103,34,2,12,3,3,3
1452,115,45,3,1,3,3,3
800,96,33,2,17,1,2,2
1151,98,34,2,12,3,3,3
978,89,47,2,17,0,2,2
963,109,43,2,15,3,2,2
1366,122,38,2,15,1,3,3
1643,117,48,3,8,2,3,3
2310,114,55,3,12,2,3,3
1235,82,45,2,10,1,3,3
855,119,45,3,11,3,2,2
1000,97,45,2,17,1,2,2
675,105,27,3,8,3,1,1
1100,100,32,2,14,1,3,3
1694,113,30,3,9,3,3,3
857,80,39,2,14,2,2,2
579,122,36,3,8,3,1,1
672,96,38,2,13,2,1,1
2500,95,51,3,12,3,3,3
750,94,18,2,16,3,1,1
1186,91,41,3,8,1,3,3
833,96,37,3,9,3,2,2
650,69,37,2,14,3,1,1
865,110,35,3,1,3,2,2
1299,125,44,3,6,1,3,3
903,91,39,2,6,3,2,2
625,110,32,2,18,3,1,1
1586,92,47,3,16,3,3,3
962,85,41,2,15,1,2,2
770,91,39,2,13,1,2,2
1205,86,32,2,13,3,3,3
601,111,30,2,15,0,1,1
600,106,32,3,10,3,1,1
1031,112,24,3,9,3,2,2
1105,103,32,3,10,1,3,3
1346,90,44,3,9,1,3,3
500,96,35,2,6,3,1,1
1325,97,44,2,12,1,3,3
800,112,39,2,15,3,2,2
1034,97,39,2,15,3,2,2
980,101,41,2,4,1,2,2
923,105,54,3,7,1,2,2
779,84,29,2,9,0,2,2
1394,118,41,3,11,2,3,3
650,100,18,2,4,3,1,1
1126,119,30,3,5,1,3,3
450,67,19,2,11,3,1,1
1028,111,28,2,19,3,2,2
1899,127,49,3,9,0,3,3
1250,115,36,3,9,2,3,3
1162,102,40,3,8,3,3,3
1411,121,40,3,14,3,3,3
2162,115,51,3,4,1,3,3
942,85,36,2,7,3,2,2
750,106,32,3,9,1,1,1
1250,91,28,2,13,3,3,3
400,75,33,2,11,3,1,1
577,94,17,2,9,2,1,1
590,109,27,3,10,2,1,1
1250,102,26,2,6,3,3,3
652,113,37,2,14,1,1,1
962,124,43,3,7,2,2,2
817,95,37,2,16,2,2,2
962,120,39,3,8,0,2,2
866,121,30,3,7,1,2,2
2404,96,42,3,1,3,3,3
1160,92,32,2,8,3,3,3
723,98,34,2,15,1,1,1
1778,109,43,3,14,0,3,3
1903,118,44,3,13,0,3,3
1058,98,45,3,14,2,3,3
500,115,43,2,14,1,1,1
1273,84,42,3,14,1,3,3
990,108,42,3,13,3,2,2
600,107,32,2,16,3,1,1
