Gender,Age,HoursTV,HoursStudy,ParentScale,FriendOpinion,FriendBehavior,CertainPun,MoralScale,DelinqScale,ParentsKnow,YouDrink,FriendsDrink,CourtDrink,HurtVandalism,DScale2,TV2,Study2,Parent2,Drink2
1,15,36,15,5,18,9,9,19,8,3,1,3,5,1,1,1,1,0,0
0,15,3,5,8,11,6,11,19,10,4,1,2,4,1,1,0,0,1,0
0,14,12,2,7,27,9,4,18,104,4,3,5,5,3,1,0,0,1,1
1,15,1,3,7,8,9,10,20,0,4,1,1,5,3,0,0,0,1,0
0,16,10,3,8,23,4,16,20,0,4,3,2,4,1,0,0,0,1,0
0,15,25,10,5,23,7,12,18,20,2,3,5,4,3,1,1,1,0,1
1,15,15,5,4,26,12,14,18,48,2,3,4,4,3,1,1,0,0,1
0,15,10,4,8,10,5,13,20,1,4,1,2,4,3,0,0,0,1,0
0,16,1,4,8,18,10,15,20,118,4,1,3,5,2,1,0,0,1,0
1,15,5,2,4,21,7,14,13,71,2,3,4,5,1,1,0,0,0,1
1,16,4,2,6,11,4,9,20,0,3,1,1,5,2,0,0,0,1,0
0,15,4,1,8,11,4,20,20,0,4,1,2,4,3,0,0,0,1,0
1,15,7,6,6,11,6,11,17,0,3,1,3,4,2,0,0,0,1,0
0,15,15,2,8,8,4,12,19,2,4,1,1,5,1,1,1,0,1,0
1,15,14,20,6,20,9,9,15,15,3,2,3,3,2,1,0,1,1,0
0,15,15,2,8,9,6,9,19,0,4,1,1,5,2,0,1,0,1,0
1,15,14,5,6,12,5,14,20,52,3,2,1,4,2,1,0,0,1,0
0,15,99,80,8,8,6,19,20,0,4,1,1,5,2,0,1,1,1,0
0,15,21,5,6,15,5,10,14,0,3,1,2,2,1,0,1,0,1,0
0,15,5,10,8,14,6,10,20,3,4,2,2,4,2,1,0,1,1,0
1,15,1,4,8,8,4,12,20,0,4,1,1,5,3,0,0,0,1,0
0,15,10,12,5,17,6,10,18,7,2,1,3,4,2,1,0,1,0,0
1,15,35,2,6,17,10,8,19,6,3,1,4,4,1,1,1,0,1,1
1,15,40,3,6,14,6,13,20,25,3,1,3,5,2,1,1,0,1,0
1,15,4,0,5,24,9,7,20,3,3,1,5,2,1,1,0,0,0,1
1,15,10,3,6,20,8,12,20,12,3,2,2,5,1,1,0,0,1,0
0,15,20,10,8,26,10,9,18,0,4,1,5,5,1,0,1,1,1,1
1,16,5,0,4,28,9,14,16,81,2,2,5,4,2,1,0,0,0,1
0,15,20,5,8,18,5,12,19,0,4,1,5,5,2,0,1,0,1,1
0,15,6,3,6,16,7,12,15,7,4,1,3,4,3,1,0,0,1,0
0,15,20,10,6,17,5,15,17,5,3,2,3,5,2,1,1,1,1,0
0,15,20,2,7,9,6,5,20,0,4,1,2,4,1,0,1,0,1,0
0,15,3,2,8,10,5,11,20,45,4,1,1,5,3,1,0,0,1,0
1,15,40,35,8,8,4,20,20,0,4,1,1,5,3,0,1,1,1,0
0,15,2,1,8,8,8,4,20,2,4,1,1,4,3,1,0,0,1,0
0,15,15,6,6,20,9,11,20,31,3,1,5,3,3,1,1,0,1,1
0,15,30,8,8,15,9,8,18,10,4,1,5,5,3,1,1,0,1,1
1,15,1,2,7,8,4,20,20,0,3,1,1,5,3,0,0,0,1,0
0,14,20,6,8,21,9,8,12,30,4,1,4,4,2,1,1,0,1,1
0,15,3,2,5,12,6,16,17,0,3,1,2,5,3,0,0,0,0,0
0,15,4,1,8,8,4,15,20,0,4,1,1,5,1,0,0,0,1,0
