wage,hours,IQ,educ,age,married,urban,famses
769,40,93,2,31,1,1,1
808,50,119,3,37,1,1,1
650,40,96,2,32,1,1,3
600,40,91,2,30,0,1,1
1081,40,114,3,38,1,1,2
1154,45,111,3,36,1,0,2
921,38,102,3,33,1,0,1
1318,38,119,3,28,1,1,3
830,44,105,3,29,1,1,3
1275,40,123,3,31,1,1,0
873,65,95,2,38,1,1,3
1602,60,124,3,29,1,1,3
1188,40,93,3,35,1,1,2
800,40,115,3,35,1,1,0
635,40,128,3,36,0,1,2
666,75,129,3,38,1,0,2
1779,40,132,3,32,1,1,1
1572,35,108,3,28,1,1,1
1274,40,106,3,31,1,1,0
1081,40,123,3,36,1,0,1
1239,45,109,2,38,1,1,3
1748,55,125,3,34,1,1,1
770,40,105,3,30,1,1,3
1155,40,102,2,34,1,1,1
1000,50,104,3,30,1,1,1
1375,40,103,2,29,1,1,3
963,40,109,2,37,0,0,3
442,60,82,2,33,1,1,2
1643,48,117,3,33,1,1,2
1682,45,126,3,31,1,1,1
1235,40,82,2,33,1,1,1
1000,50,97,2,36,1,1,1
675,40,105,3,31,1,0,3
996,50,114,2,31,1,1,2
732,40,73,2,36,1,1,3
1200,40,96,2,37,1,1,3
857,35,80,2,33,1,1,2
579,44,122,3,30,1,0,3
2500,40,95,3,36,1,1,3
750,40,94,2,37,1,1,3
833,48,96,3,31,1,1,3
650,40,69,2,30,1,1,3
1250,46,110,2,38,1,0,1
865,40,110,3,31,1,1,3
1299,60,125,3,35,0,1,1
903,40,91,2,36,1,1,3
625,40,110,2,35,1,1,3
1110,52,106,2,33,1,0,3
1000,45,90,2,38,1,1,3
1205,40,86,2,32,1,1,3
433,40,98,2,30,0,1,1
1225,40,118,3,32,1,1,0
1151,45,90,2,36,1,1,1
865,40,95,2,32,0,1,3
1049,55,120,2,32,1,1,3
1105,40,103,3,30,1,1,1
1924,50,121,3,35,1,1,3
1346,50,128,3,33,0,0,3
500,40,96,2,33,1,1,3
800,40,88,2,38,1,1,3
1034,40,97,2,36,1,1,3
884,40,106,2,34,1,1,2
950,60,98,2,31,1,1,2
1394,40,118,3,30,1,0,2
650,40,100,2,28,1,1,3
1899,40,127,3,36,0,1,0
757,40,113,3,33,1,1,2
1100,50,117,3,32,1,0,0
1318,35,118,3,37,1,0,1
1273,55,120,3,36,1,0,1
1140,48,109,2,35,1,1,2
578,40,109,3,30,0,1,1
1058,40,85,2,38,1,0,3
1000,60,101,2,30,1,1,3
951,60,116,2,30,1,1,3
675,40,110,2,34,1,1,2
577,50,94,2,29,1,1,2
923,50,122,3,31,1,0,1
1250,50,102,2,32,0,1,3
652,50,113,2,36,0,1,1
618,42,104,2,30,1,1,3
529,40,110,3,32,1,0,1
962,40,120,3,32,1,0,0
840,40,105,2,38,1,0,3
866,40,121,3,28,1,0,1
1160,40,92,2,31,1,0,3
1903,48,118,3,36,1,0,0
1010,40,97,3,34,1,1,3
971,40,95,3,37,1,1,1
525,40,99,2,34,1,1,2
550,46,95,2,35,1,1,1
623,45,98,3,30,1,0,3
500,50,97,2,37,1,0,2
740,50,84,2,38,1,0,3
1250,32,104,3,33,1,1,3
445,40,80,2,38,1,0,3
821,45,85,3,32,1,1,3
794,40,114,3,29,1,1,1
1924,50,112,3,38,1,1,3
923,50,123,3,31,1,1,1
826,40,114,3,37,1,1,3
937,40,102,2,35,1,1,3
978,48,104,2,36,1,1,3
1031,40,112,3,33,0,1,3
1272,40,107,2,30,1,1,3
1136,50,117,3,34,1,1,2
808,40,99,2,38,1,1,0
1082,55,95,2,29,1,1,2
930,40,126,3,31,0,1,3
1155,40,109,3,38,1,0,3
769,55,105,3,38,0,1,2
587,38,117,3,29,1,0,3
1058,40,89,2,29,1,1,2
417,48,131,2,28,0,1,1
1070,40,124,3,32,1,1,0
711,45,100,3,36,1,1,1
1202,40,84,3,31,1,1,2
490,49,82,3,31,0,1,2
865,40,111,3,31,1,1,3
1375,40,96,3,30,1,1,3
1586,40,127,3,37,1,1,3
1602,65,97,3,37,1,1,1
962,55,108,2,36,1,1,3
1075,40,103,2,33,1,1,3
1250,40,106,2,35,1,1,3
1016,40,72,2,37,1,1,3
800,40,88,2,37,1,1,3
654,50,121,3,34,1,1,1
781,50,112,2,30,1,1,2
1924,50,99,3,37,1,1,0
1202,40,101,3,37,1,1,3
905,45,109,3,36,1,1,3
890,70,73,2,31,1,1,3
812,40,98,2,29,0,1,3
1155,45,85,2,34,1,1,2
714,40,90,2,37,1,0,3
2067,40,106,3,33,1,1,2
912,40,96,3,30,1,1,2
951,40,86,2,31,1,1,3
711,45,110,3,32,1,1,3
1151,48,87,2,38,1,1,2
1202,40,100,2,37,1,1,0
1442,40,114,2,33,1,1,2
538,55,98,3,34,1,1,2
781,40,89,2,30,1,1,3
750,60,74,2,30,1,1,3
841,48,110,3,37,0,1,1
800,45,98,2,33,1,0,3
1250,40,125,3,30,1,1,3
475,52,98,3,30,0,1,3
762,58,104,3,33,1,0,2
800,50,92,2,34,1,1,0
824,42,92,2,38,1,1,1
1038,50,119,2,36,1,0,3
668,43,109,2,29,1,0,2
1100,40,91,2,36,1,0,2
1000,45,118,3,30,1,1,3
1111,40,103,3,31,1,0,3
850,44,115,2,29,1,1,3
793,40,96,2,36,1,0,3
1442,40,123,3,38,1,0,2
670,50,108,2,34,1,1,3
841,40,109,3,36,1,0,3
533,45,109,3,30,1,1,2
1206,40,110,2,38,1,1,1
745,40,94,3,36,0,0,2
550,40,110,3,38,1,0,2
909,40,95,3,31,1,1,2
769,40,100,2,36,1,0,1
833,60,101,2,37,1,1,3
1000,55,114,3,33,1,0,0
641,45,125,3,37,1,1,1
1250,40,114,3,30,1,1,3
562,40,99,2,34,0,0,1
654,50,113,3,33,1,0,1
692,50,120,2,35,1,0,3
1282,45,121,3,32,1,1,2
1424,50,96,3,37,1,1,2
888,50,105,3,32,0,1,2
947,48,104,3,35,1,0,3
1575,40,117,2,30,1,1,3
758,38,126,3,28,0,1,2
1442,40,112,2,36,1,1,3
1126,40,116,2,31,1,1,3
500,70,83,2,32,1,1,3
565,45,82,2,33,1,0,3
684,45,111,3,29,1,1,3
233,60,96,3,30,1,0,3
700,40,120,3,29,1,1,1
1161,40,99,3,36,1,1,0
729,60,80,2,34,1,1,3
1026,45,85,2,38,1,1,1
1111,45,118,3,32,1,1,3
1541,40,94,2,32,1,1,3
1154,40,109,3,34,1,1,0
310,40,104,3,33,0,0,2
1749,43,101,2,36,1,0,2
1000,40,96,3,31,0,1,3
818,47,92,2,38,1,0,3
938,50,130,3,33,1,0,3
2099,55,119,3,32,1,1,0
940,48,104,2,32,1,1,3
450,40,94,3,31,1,0,1
1058,40,120,3,37,1,0,3
958,60,98,2,28,1,1,0
995,40,92,2,38,1,1,3
606,45,100,3,30,0,0,1
1411,45,111,3,32,1,1,1
1346,40,106,3,37,1,1,1
1377,37,118,3,36,1,1,2
874,55,132,3,33,1,0,2
1250,32,98,2,33,1,1,0
1082,40,111,3,36,1,1,3
884,46,120,3,36,1,0,2
698,43,97,2,29,1,1,2
800,55,106,2,36,1,0,3
812,40,131,3,30,0,0,1
1000,40,93,2,34,1,1,1
549,49,79,2,32,0,0,3
923,50,107,3,33,1,1,3
600,80,116,2,38,1,0,3
1058,40,85,2,35,1,1,2
962,40,93,2,30,1,1,2
800,50,110,3,28,1,1,3
795,52,89,2,34,1,1,3
1039,40,113,3,34,1,1,1
400,40,90,2,32,1,1,3
850,40,97,2,37,1,1,1
1199,43,70,3,30,1,1,3
1270,40,104,3,31,1,1,3
1463,45,104,3,37,1,1,3
802,40,99,2,29,1,1,3
751,40,114,3,28,1,1,2
940,45,98,3,31,1,1,2
675,40,77,2,38,1,1,3
375,40,89,3,30,1,1,3
325,40,93,3,33,1,1,1
346,40,110,2,38,1,1,2
1442,40,132,3,33,1,1,3
1634,40,95,2,38,1,1,3
666,50,89,2,34,1,1,3
1679,55,127,3,32,1,1,1
1250,40,102,3,30,1,1,3
760,40,88,2,31,1,1,2
1154,42,88,2,29,1,1,2
1602,60,110,3,37,1,1,3
1442,40,110,3,29,1,1,1
865,40,130,3,30,1,1,3
705,50,100,2,36,1,1,1
852,44,89,2,32,1,1,3
685,40,93,2,38,0,1,3
577,40,111,3,29,0,1,1
1000,40,93,2,29,1,1,3
478,45,90,2,34,1,1,2
705,40,89,2,36,1,1,0
1550,40,104,2,34,1,0,3
1346,40,112,3,35,1,1,0
961,40,76,2,31,0,1,3
1201,50,98,2,36,1,0,3
1346,45,60,3,31,1,1,2
1122,35,132,3,32,1,1,2
450,40,63,2,31,1,1,3
705,40,76,2,37,1,1,3
1566,40,127,2,29,1,1,3
1282,45,97,3,32,1,1,3
1200,40,109,3,33,1,1,2
855,45,89,2,31,1,0,3
1053,40,90,2,37,1,0,1
900,55,100,2,34,0,1,2
508,50,125,3,31,1,1,3
1682,50,107,3,32,1,1,0
650,40,99,2,30,1,0,1
808,40,93,2,37,1,0,3
2137,45,102,3,30,1,0,0
769,40,98,3,35,0,1,0
345,40,84,2,31,1,1,2
495,40,88,2,31,1,1,2
2500,60,82,2,38,1,0,3
577,40,92,3,28,1,1,1
390,59,74,3,30,1,1,3
1500,40,123,3,32,1,1,1
583,80,86,2,30,1,1,2
460,40,92,2,36,1,1,3
945,40,87,2,38,1,1,2
1500,37,119,3,33,0,1,1
1333,45,103,3,34,1,1,3
700,40,74,2,36,1,1,3
973,36,81,3,32,1,1,0
797,41,89,2,36,1,0,1
400,40,88,2,32,1,1,3
1744,43,106,3,29,1,1,1
630,40,103,3,32,1,0,0
660,42,101,3,31,1,1,0
377,40,83,2,36,0,1,1
1386,40,97,2,37,1,1,1
1442,40,113,3,36,1,1,2
1091,50,88,3,37,1,1,3
350,40,93,2,33,0,1,1
1026,45,113,3,30,1,1,2
577,40,106,3,33,0,1,3
915,55,114,2,37,1,1,1
1105,40,119,3,30,0,1,3
910,40,82,3,30,1,1,3
1001,34,77,2,29,1,1,3
713,40,75,2,36,1,1,3
929,40,97,3,30,1,1,2
1241,40,83,3,33,1,1,2
403,45,98,2,30,1,1,2
940,45,102,3,30,1,1,2
812,40,81,2,34,1,1,2
700,20,85,2,35,1,1,3
726,45,93,2,36,1,0,3
1000,44,113,3,34,1,1,3
962,50,109,2,37,1,0,0
962,40,97,2,34,1,0,3
865,40,66,2,30,1,1,3
1154,50,109,3,35,1,1,2
732,40,104,2,36,1,1,1
865,40,85,3,34,1,1,3
700,40,81,2,31,1,0,3
827,40,105,3,30,1,1,2
500,44,87,3,31,1,1,3
1710,45,114,3,32,1,1,1
2004,48,105,3,34,1,1,2
890,60,92,3,32,1,1,1
508,40,73,2,31,1,1,1
1354,40,119,3,35,0,0,2
1143,35,97,2,38,1,1,3
962,40,110,2,33,1,1,2
1250,44,96,2,38,1,1,2
1559,40,103,2,34,1,1,3
923,40,118,3,35,1,1,3
879,40,118,3,31,1,1,1
1200,40,103,3,30,1,1,1
797,55,90,3,33,1,1,3
360,55,110,3,38,0,1,3
1270,40,84,2,30,1,1,2
520,40,126,3,30,1,1,3
808,40,107,3,29,1,0,3
2137,45,108,3,36,1,1,2
692,50,92,3,38,1,1,0
931,80,108,3,36,1,1,3
812,45,115,3,34,1,1,1
528,55,116,3,30,1,1,3
1620,38,111,3,29,1,0,1
1602,60,124,3,37,1,1,1
1699,40,100,2,33,1,1,1
1107,40,112,2,38,1,1,3
1250,40,95,2,32,1,1,2
1130,40,109,3,38,1,0,1
900,40,110,2,28,0,1,1
1924,50,98,3,38,1,1,1
1874,48,64,2,38,1,1,3
940,45,102,3,36,1,1,1
1710,45,118,3,38,1,1,1
1260,45,79,2,37,1,0,3
751,40,96,2,38,1,0,1
1097,50,80,2,28,1,0,3
1001,48,137,3,33,1,0,3
1154,40,116,3,34,0,0,2
1250,40,78,2,33,1,1,3
857,65,99,2,38,1,1,2
1211,27,92,2,31,1,1,3
904,50,98,3,33,1,1,3
1261,40,117,3,35,1,1,3
115,50,108,2,29,1,1,3
673,40,92,3,31,1,1,3
1084,45,95,3,37,1,1,1
1058,40,94,3,34,1,1,0
800,40,115,2,38,1,0,3
1924,40,105,3,36,1,0,0
855,40,109,2,36,1,0,3
864,40,87,2,31,1,0,1
1025,40,110,3,30,1,0,3
800,40,105,3,37,1,0,3
884,40,108,3,35,1,1,3
1200,40,79,3,32,1,1,0
664,40,105,2,29,1,1,3
1000,40,110,2,37,1,1,3
923,40,110,3,37,1,0,2
788,40,99,2,28,1,1,3
950,40,86,2,38,1,1,3
1442,40,105,2,37,1,1,3
866,40,85,2,30,1,0,3
693,40,68,2,35,1,0,3
700,38,85,2,32,1,1,3
721,40,100,2,29,1,1,3
1050,50,97,3,31,1,1,2
801,48,100,3,29,1,1,2
1076,38,106,2,36,1,1,1
1127,40,98,2,36,1,1,1
1384,50,104,3,31,1,0,3
425,30,106,3,36,0,0,0
510,54,62,2,33,0,1,3
370,32,73,2,31,1,0,3
596,40,62,2,33,1,0,3
418,40,76,2,31,1,0,0
1133,40,106,3,36,1,0,1
950,40,81,2,35,1,0,3
600,40,87,2,36,1,0,0
661,40,96,3,29,0,0,3
925,40,75,2,30,1,0,2
550,40,95,2,31,1,0,0
606,40,86,2,30,1,0,3
425,40,86,2,30,1,0,3
571,40,66,2,33,1,0,3
987,40,96,2,29,1,0,1
616,55,104,2,35,1,1,3
1026,60,105,3,35,1,1,3
808,40,106,2,29,1,1,1
808,50,101,3,30,1,1,1
788,40,96,2,36,1,1,3
900,38,106,2,38,1,1,3
662,45,99,3,28,1,0,3
562,55,90,3,38,1,0,1
562,80,104,2,28,1,0,1
1009,40,118,3,32,1,0,0
1442,40,108,2,36,1,1,1
750,40,50,2,32,1,0,3
754,40,55,2,33,1,0,2
700,40,73,2,38,1,0,3
937,40,104,2,32,1,0,1
750,40,83,2,32,1,0,3
540,40,70,2,29,1,0,3
642,35,87,3,30,1,0,3
400,50,96,3,28,0,0,3
900,40,80,2,38,1,0,3
513,40,104,3,33,1,0,3
1282,60,96,3,32,1,1,3
325,55,113,2,29,1,0,1
769,45,105,2,33,1,0,3
618,40,84,3,31,0,1,3
1040,48,108,2,35,1,1,3
751,40,104,2,34,1,1,3
380,50,106,2,30,1,0,2
300,24,83,2,37,1,1,3
650,40,97,2,30,1,0,3
700,45,99,2,32,1,0,3
891,40,90,2,32,1,0,3
570,50,101,2,30,1,1,2
481,48,98,2,31,0,1,3
500,44,107,2,38,1,0,2
1473,40,110,3,36,1,0,1
629,60,93,2,30,1,0,3
492,60,67,2,34,1,0,3
357,70,97,3,28,1,0,1
960,40,83,3,32,1,1,3
644,42,101,2,33,1,0,3
664,60,82,3,34,1,1,3
520,40,79,3,30,1,0,0
1202,40,102,3,31,1,1,3
538,45,77,2,28,1,0,3
873,44,109,2,28,1,0,1
