wage,hours,IQ,degree,age,brthord,famses
769,40,93,2,31,2,2
1400,40,116,3,35,3,3
600,40,91,1,30,1,1
1081,40,114,3,38,3,3
930,43,132,2,38,2,2
1318,38,119,3,28,3,3
958,50,105,2,35,2,2
850,40,72,2,38,2,2
1275,40,123,3,31,3,3
2137,45,145,3,38,3,3
1053,38,114,2,32,2,2
1602,60,124,3,29,3,3
800,40,115,2,35,1,2
1000,40,103,2,34,2,2
1424,50,98,3,35,3,3
2668,75,108,3,32,3,3
782,40,92,2,31,2,2
1027,27,100,2,38,2,2
981,40,122,2,35,2,2
1154,50,94,3,33,3,3
1155,40,102,3,34,3,3
1154,40,134,3,37,3,3
1749,40,108,3,29,3,3
769,55,120,2,32,2,2
1748,55,123,3,36,3,3
1151,40,98,3,29,3,3
963,40,109,2,37,2,2
600,40,120,1,38,1,1
1366,38,122,3,32,3,3
2310,40,114,3,38,3,3
1235,40,82,3,33,3,3
855,45,119,2,32,2,2
1040,40,115,2,35,2,2
675,40,105,1,31,1,1
1100,37,100,3,30,3,3
996,50,114,2,31,2,2
732,40,73,1,36,1,1
1694,30,113,3,29,3,3
754,40,104,1,32,2,1
832,50,104,2,30,2,2
672,61,96,1,34,1,1
1076,45,105,3,31,3,3
833,48,96,2,31,2,2
650,40,69,1,30,1,1
1250,46,110,3,38,3,3
1122,48,111,3,31,3,3
865,40,110,2,31,2,2
1299,60,125,3,35,3,3
900,40,86,2,37,2,2
625,40,110,1,35,1,1
1586,40,92,3,36,3,3
962,40,85,2,38,2,2
1110,52,106,3,33,3,3
1282,45,112,3,31,3,3
895,40,86,2,38,2,2
600,40,106,1,28,1,1
635,40,105,1,33,1,1
1225,40,118,3,32,3,3
865,40,95,2,32,2,2
1031,40,112,2,29,2,2
1000,45,123,2,29,2,2
1105,40,103,3,30,3,3
1924,50,121,3,35,3,3
1346,40,90,3,38,3,3
1346,50,128,3,33,3,3
1325,45,97,3,28,3,3
900,40,78,2,33,2,2
980,40,101,2,36,2,2
884,40,106,2,34,2,2
480,40,59,1,34,1,1
923,40,105,2,34,2,2
1105,40,93,3,37,3,3
2771,50,134,3,34,3,3
950,60,98,2,31,2,2
1394,40,118,3,30,3,3
450,64,67,1,33,1,1
1250,40,115,3,29,3,3
1162,48,102,3,31,3,3
1318,35,118,3,37,3,3
2162,40,115,3,38,3,3
1273,55,120,3,36,3,3
578,40,109,1,30,1,1
750,40,106,1,29,1,1
1000,60,101,2,30,2,2
635,47,91,1,31,1,1
1250,40,91,3,34,3,3
675,40,110,1,34,1,1
590,40,109,1,29,1,1
923,50,122,2,31,2,2
1250,50,102,3,32,3,3
652,50,113,1,36,1,1
