wage,IQ,KWW,exper,married,urban,meduc,feduc
769,93,35,11,1,1,2,2
808,119,41,11,1,1,2,2
1400,116,43,14,1,1,3,3
600,91,24,13,0,1,1,1
1081,114,50,8,1,1,3,3
1000,95,44,16,1,1,2,2
921,102,45,9,1,0,2,2
900,125,40,4,0,0,2,2
850,72,36,19,1,1,2,2
1275,123,37,9,1,1,3,3
1053,114,35,12,1,1,2,2
1602,124,32,8,1,1,3,3
1188,93,40,16,1,1,3,3
666,129,40,8,1,0,1,1
714,105,37,9,1,1,1,1
1081,123,46,11,1,0,3,3
1239,109,44,16,1,1,3,3
1027,100,40,12,1,1,2,2
981,122,41,9,0,1,2,2
770,105,34,7,1,1,2,2
1154,94,37,11,1,1,3,3
462,112,35,11,1,1,1,1
769,120,49,8,0,1,2,2
875,124,40,9,0,0,2,2
1452,115,45,1,1,1,3,3
800,96,33,17,1,1,2,2
1748,123,48,10,1,1,3,3
442,82,32,12,1,1,1,1
1643,117,48,8,1,1,3,3
1455,109,44,8,1,1,3,3
2310,114,55,12,1,1,3,3
1235,82,45,10,1,1,3,3
855,119,45,11,1,1,2,2
1072,104,37,6,1,1,3,3
1000,97,45,17,1,1,2,2
1100,100,32,14,1,1,3,3
732,73,28,17,1,1,1,1
1200,96,48,15,1,1,3,3
832,104,30,4,1,1,2,2
579,122,36,8,1,0,1,1
650,69,37,14,1,1,1,1
808,97,37,10,1,1,2,2
903,91,39,6,1,1,2,2
900,86,28,17,1,1,2,2
1000,90,42,16,1,1,2,2
895,86,39,17,1,0,2,2
750,113,27,11,1,0,1,1
601,111,30,15,1,1,1,1
600,106,32,10,1,1,1,1
433,98,28,11,0,1,1,1
1225,118,44,9,1,1,3,3
865,95,34,15,0,1,2,2
1031,112,24,9,1,1,2,2
1049,120,39,9,1,1,2,2
1346,128,46,10,0,0,3,3
1200,97,35,10,1,1,3,3
500,96,35,6,1,1,1,1
1325,97,44,12,1,1,3,3
800,88,32,16,1,1,2,2
980,101,41,4,1,1,2,2
1105,93,36,17,0,1,3,3
1193,82,38,19,1,1,3,3
2771,134,45,6,1,1,3,3
779,84,29,9,1,1,2,2
650,100,18,4,1,1,1,1
670,93,27,9,1,1,1,1
1126,119,30,5,1,1,3,3
450,67,19,11,0,1,1,1
1899,127,49,9,0,1,3,3
1162,102,40,8,1,1,3,3
1100,117,51,11,1,0,3,3
714,125,34,7,1,1,1,1
1411,121,40,14,1,1,3,3
2162,115,51,4,1,1,3,3
1140,109,43,16,1,1,3,3
750,106,32,9,1,1,1,1
1000,101,30,11,1,1,2,2
400,75,33,11,1,1,1,1
923,122,38,10,1,0,2,2
1250,102,26,6,0,1,3,3
1100,122,38,11,1,1,3,3
652,113,37,14,0,1,1,1
962,124,43,7,1,1,2,2
